city,population,code
ירושלים,946937.97,3000
בני ברק,207212.33,6100
אשדוד,226230.92,70
תל אביב - יפו,463791.68,5000
מודיעין עילית,78034.16,3797
פתח תקווה,249326.65,7900
נתניה,222575.06,7400
באר שבע,210001.15,9000
בית שמש,129379.2,2610
ראשון לציון,255415.8,8300
חיפה,285165.3,4000
חולון,196518.09,6600
אלעד,49040.29,1309
ביתר עילית,60754.8,3780
רחובות,145472.94,8400
אשקלון,145567.36,7100
בת ים,128107.53,6200
חדרה,98448.73,6500
רמלה,76594.32,8500
רמת גן,165867.88,8600
נתיבות,38790.42,246
לוד,79707.27,7000
קרית גת,58033.54,2630
עפולה,55839.57,7700
ראש העין,65366.59,2640
כפר סבא,101595.68,6900
נצרת,77751.94,7300
אופקים,31850.25,31
אור יהודה,36701.72,2400
מודיעין-מכבים-רעות,94187.12,1200
יבנה,48835.66,2660
רעננה,76479.22,8700
טבריה,45345.74,6700
טמרה,34709.19,8900
הרצליה,98524.76,6400
ערד,26868.23,2560
אום אל-פחם,56494.84,2710
עכו,49445.09,7600
נהריה,58706.34,9100
צפת,36102.3,8000
סח'נין,32046.12,7500
קרית אתא,59107.05,6800
קרית מלאכי,24201.48,1034
גבעת זאב,18899.35,3730
פרדס חנה-כרכור,43322.36,7800
באקה אל-גרביה,30280.09,6000
רכסים,13082.51,922
יהוד,30086.42,9400
באר יעקב,28545.76,2530
שפרעם,42282.03,8800
ירכא,17314.5,502
קרית ים,39544.78,9600
הוד השרון,64388.56,9700
שדרות,28426.12,1031
דייר אל-אסד,12638.47,490
כרמיאל,46217.44,1139
מג'ד אל-כרום,15570.49,516
טייבה,44388.13,2730
רמת השרון,47498.36,2650
נוף הגליל,41893.2,1061
דימונה,34719.93,2200
גבעתיים,60854.02,6300
כפר יונה,25552.66,168
מגדל העמק,25706.52,874
גן יבנה,23863.11,166
קרית שמונה,22418.79,2800
קרית מוצקין,44884.21,8200
נס ציונה,50456.67,7200
מעלה אדומים,37849.6,3616
גדרה,28506.28,2550
ג'דיידה-מכר,21293.58,1292
עראבה,26117.85,531
חצור הגלילית,9394.61,2034
קרית ביאליק,41050.59,9500
גבעת שמואל,27001.78,681
אילת,52226.3,2600
אור עקיבא,19274.67,1020
מעלה עירון,15263.21,1327
בית שאן,18502.84,9200
פוריידיס,13405.05,537
כפר מנדא,20458.9,510
קלנסווה,23336.49,638
מבשרת ציון,24262.45,1015
אבו סנאן,14239.59,473
"כפר חב""ד",6667.53,696
מעלות-תרשיחא,22059.99,1063
בענה,8406.54,483
טירת כרמל,23891.58,2100
ערערה,25395.1,637
קרית אונו,40570.35,2620
טירה,26874.33,2720
ריינה,19109.26,542
כפר כנא,23102.7,509
כסרא-סמיע,8935.77,1296
יפיע,19253.16,499
כפר קרע,19256.16,654
כוכב יעקב,8717.43,3779
דבוריה,10638.46,489
טורעאן,14358.97,498
רהט,72959,1161
ג'סר א-זרקא,15048.19,541
תפרח,2208.35,709
אכסאל,14959.35,478
ג'ת,12212.56,628
בית ג'ן,12108.91,480
ג'ולס,6534.28,485
עין מאהל,13483.16,532
אזור,13081.88,565
זכרון יעקב,23358.64,9300
קדימה-צורן,22730.46,195
אעבלין,13478.47,529
כפר קאסם,24099.4,634
חריש,17490.71,1247
מגאר,23176.81,481
נשר,24018.97,2500
פקיעין (בוקייעה),5929.56,536
מזכרת בתיה,14946.05,28
שבלי - אום אל-גנם,6125.73,913
כאבול,14162.44,504
יקנעם עילית,23948.31,240
גני תקווה,21125.18,229
מוקייבלה,4064.36,635
שוהם,21092.15,1304
קרית יערים,6204.69,1137
חשמונאים,2703.94,3770
יאנוח-ג'ת,6753.45,1295
פרדסיה,6558.36,171
תל מונד,13314.26,154
אריאל,20507.4,3570
אפרת,11225.78,3650
ירוחם,10508.63,831
דאלית אל-כרמל,17797.71,494
אבן יהודה,14013.22,182
ראמה,7759.54,543
בוקעאתא,6657.69,4001
קרית עקרון,11035.89,469
קרית ארבע,7306.98,3611
כפר יאסיף,10223.09,507
קרני שומרון,8431.79,3640
"בסמ""ה",10161.12,1326
גני מודיעין,2670.45,3823
מג'דל שמס,11241.68,4201
בנימינה-גבעת עדה,15928.9,9800
בת חפר,5309.73,1319
דייר חנא,10428.58,492
מבוא חורון,2694.28,3709
נחף,13277.76,522
אורנית,9023.4,3760
בית אל,5870.07,3574
שעב,7158.33,538
שלומי,6674.4,812
עספיא,12600.83,534
יד בנימין,4224.72,577
גבע בנימין,5739.2,3763
ג'לג'וליה,10220.14,627
"בני עי""ש",6931.51,1066
קרית טבעון,18242.06,2300
אבו גוש,7811.45,472
זמר,7175.18,1290
כפר אדומים,4705.38,3638
צור הדסה,11498.09,1113
רבבה,2760.51,3795
משהד,8444.29,520
חורפיש,6478.3,496
סאג'ור,4327.4,525
ניצן,2522.65,351
בית דגן,7276.93,466
מיתר,9749.2,1268
שערי תקווה,6047.36,3720
כפר כמא,3387.75,508
עומר,7570.15,666
כוכב יאיר,8769.15,1224
קיסריה,5544.64,1167
כסיפה,22213,1059
טלמון,4739.96,3788
מזרעה,3965.18,517
להבים,6611.95,1271
זרזיר,8222.71,975
יבנאל,4303.31,46
נוף איילון,2134.21,1333
עמנואל,4066.63,3660
מעיליא,3233.09,518
עיילבון,5785.22,530
רמת ישי,7851.86,122
טובא-זנגריה,6852.96,962
עלי זהב,3725.92,3727
אלפי מנשה,7982,3750
פדואל,2038.72,3768
שילה,4499.16,3641
צור יצחק,6474.75,1345
עילוט,8472.17,511
מרכז שפירא,2376.4,1098
סולם,2644.24,526
ראש פינה,3181.81,26
צור משה,3330.93,276
אליכין,3454.42,41
בועיינה-נוג'ידאת,9955.83,482
עתלית,9585.65,53
הושעיה,2078.39,1186
כפר תבור,4388.6,47
כפר ברא,3742.28,633
סביון,4005.09,587
תקוע,4161.97,3563
כעביה-טבאש-חג'אג'רה,5594.04,978
קצרין,7410.54,4100
כאוכב אבו אל-היג'א,3636.43,505
אחוזת ברק,2367.22,1330
הר אדר,4115.84,3769
אלקנה,3859.55,3560
בית אריה,5303.28,3652
לפיד,2369.64,1310
ביר אל-מכסור,9673.43,998
עלי,4454.71,3765
עין נקובא,3550.07,521
תל שבע,21298.2,1054
עין קנייא,2131.81,4502
אטרש (שבט),,
נוקדים,2519.64,3726
אבו רוקייק (שבט),,
אלעזר,2474.96,3618
עפרה,3061.29,3617
ע'ג'ר,2685.4,4501
קדומים,4561.15,3557
אבטין,2871.17,652
מסעדה,3744.66,4203
אעצם (שבט),,
צופים,2446.81,3791
כפר ורדים,5504.56,1263
נאעורה,2337.52,524
מצפה יריחו,2571.92,3576
גבעת ברנר,2672.31,147
גבעת אבני,2070.81,1293
מייסר,2041.11,649
ברכה,2854.81,3710
רומת הייב,2067.92,997
מתן,3597.46,1315
קצר א-סר,2530.57,1347
עוזייר,3334.15,528
גן נר,2691.16,1274
כפר האורנים,2645.08,3796
סלמה,3392.8,1245
יקיר,2358.71,3647
שמשית,2527.45,1337
אלון שבות,3115.43,3604
כוכב השחר,2307.32,3564
בית יצחק-שער חפר,2135.22,326
אבו רובייעה (שבט),,
אבו תלול,2091.95,1375
מסעודין אל-עזאזמה,,
חורה,22793.22,1303
כפר מצר,2777,512
עץ אפרים,2472.56,3778
בית חשמונאי,2174.82,1050
שגב-שלום,11186.28,1286
ערערה-בנגב,18701.86,1192
ג'ש (גוש חלב),3117.53,487
שייח' דנון,2919.77,658
נווה דניאל,2327.62,3725
נופית,2661.29,1284
לקיה,14438.53,1060
מצפה רמון,5168.79,99
פסוטה,3176.12,535
בסמת טבעון,7950.73,944
קודייראת א-צאנע(שבט),,
אבו ג'ווייעד (שבט),,
אבו קורינאת (שבט),,
הוואשלה (שבט),,
ביר הדאג',5960.19,1348
אל סייד,5986.21,1359
אום בטין,4428.28,1358
סייד (שבט),,