date,amount,amountVirusDiagnosis,amountMagen,positiveAmount
1999-01-01T00:00:00.000Z,103,103,101,-1
2000-10-18T00:00:00.000Z,1,1,0,-1
2019-07-30T00:00:00.000Z,1,1,0,-1
2020-01-08T00:00:00.000Z,1,1,0,-1
2020-01-15T00:00:00.000Z,1,1,0,-1
2020-01-18T00:00:00.000Z,1,1,0,-1
2020-01-26T00:00:00.000Z,3,3,0,-1
2020-01-27T00:00:00.000Z,1,1,0,-1
2020-01-29T00:00:00.000Z,3,3,0,-1
2020-01-30T00:00:00.000Z,4,4,0,-1
2020-02-02T00:00:00.000Z,7,7,0,-1
2020-02-03T00:00:00.000Z,7,7,0,-1
2020-02-04T00:00:00.000Z,6,6,0,-1
2020-02-09T00:00:00.000Z,40,40,0,-1
2020-02-10T00:00:00.000Z,28,28,0,-1
2020-02-11T00:00:00.000Z,50,50,0,-1
2020-02-12T00:00:00.000Z,35,35,0,0
2020-02-13T00:00:00.000Z,35,35,0,0
2020-02-14T00:00:00.000Z,30,30,0,0
2020-02-15T00:00:00.000Z,3,3,0,0
2020-02-16T00:00:00.000Z,23,23,0,0
2020-02-17T00:00:00.000Z,41,41,0,0
2020-02-18T00:00:00.000Z,46,46,0,0
2020-02-19T00:00:00.000Z,34,34,0,0
2020-02-20T00:00:00.000Z,29,29,0,0
2020-02-21T00:00:00.000Z,28,28,0,1
2020-02-22T00:00:00.000Z,13,13,0,0
2020-02-23T00:00:00.000Z,56,56,0,0
2020-02-24T00:00:00.000Z,75,74,0,1
2020-02-25T00:00:00.000Z,108,108,0,0
2020-02-26T00:00:00.000Z,108,108,0,0
2020-02-27T00:00:00.000Z,171,171,0,1
2020-02-28T00:00:00.000Z,118,118,0,3
2020-02-29T00:00:00.000Z,158,158,0,0
2020-03-01T00:00:00.000Z,187,178,0,1
2020-03-02T00:00:00.000Z,171,170,0,5
2020-03-03T00:00:00.000Z,235,227,0,3
2020-03-04T00:00:00.000Z,129,128,0,0
2020-03-05T00:00:00.000Z,173,165,0,2
2020-03-06T00:00:00.000Z,274,274,0,4
2020-03-07T00:00:00.000Z,336,324,0,4
2020-03-08T00:00:00.000Z,421,417,0,9
2020-03-09T00:00:00.000Z,518,515,0,4
2020-03-10T00:00:00.000Z,520,495,1,33
2020-03-11T00:00:00.000Z,401,376,0,19
2020-03-12T00:00:00.000Z,607,594,0,22
2020-03-13T00:00:00.000Z,694,689,0,35
2020-03-14T00:00:00.000Z,614,611,0,29
2020-03-15T00:00:00.000Z,1183,1125,0,39
2020-03-16T00:00:00.000Z,1345,1321,0,73
2020-03-17T00:00:00.000Z,1647,1566,1,94
2020-03-18T00:00:00.000Z,2106,1990,0,118
2020-03-19T00:00:00.000Z,2076,1983,0,136
2020-03-20T00:00:00.000Z,2317,2231,0,168
2020-03-21T00:00:00.000Z,2108,2066,0,210
2020-03-22T00:00:00.000Z,3350,3219,1,254
2020-03-23T00:00:00.000Z,3626,3500,1,352
2020-03-24T00:00:00.000Z,4789,4640,0,423
2020-03-25T00:00:00.000Z,5936,5787,0,425
2020-03-26T00:00:00.000Z,6504,6283,1,520
2020-03-27T00:00:00.000Z,5750,5584,1,433
2020-03-28T00:00:00.000Z,5739,5535,1,480
2020-03-29T00:00:00.000Z,7575,7237,2,532
2020-03-30T00:00:00.000Z,7101,6822,0,547
2020-03-31T00:00:00.000Z,7989,7531,0,738
2020-04-01T00:00:00.000Z,9008,8578,7,696
2020-04-02T00:00:00.000Z,10225,9469,3,719
2020-04-03T00:00:00.000Z,10328,9779,2,597
2020-04-04T00:00:00.000Z,6355,5988,1,428
2020-04-05T00:00:00.000Z,9394,8777,0,583
2020-04-06T00:00:00.000Z,7498,6769,0,451
2020-04-07T00:00:00.000Z,6967,6176,0,377
2020-04-08T00:00:00.000Z,5878,4948,156,338
2020-04-09T00:00:00.000Z,5748,5002,263,343
2020-04-10T00:00:00.000Z,7347,6327,505,359
2020-04-11T00:00:00.000Z,6702,5763,945,345
2020-04-12T00:00:00.000Z,10598,8524,1253,552
2020-04-13T00:00:00.000Z,10950,9187,972,438
2020-04-14T00:00:00.000Z,12678,10965,1103,399
2020-04-15T00:00:00.000Z,9450,7799,159,311
2020-04-16T00:00:00.000Z,12789,11209,183,296
2020-04-17T00:00:00.000Z,11595,9972,305,298
2020-04-18T00:00:00.000Z,10606,8960,1300,291
2020-04-19T00:00:00.000Z,11479,9997,1575,276
2020-04-20T00:00:00.000Z,15367,13295,3021,299
2020-04-21T00:00:00.000Z,13612,11635,3057,282
2020-04-22T00:00:00.000Z,13293,11772,2633,225
2020-04-23T00:00:00.000Z,14183,12259,2221,276
2020-04-24T00:00:00.000Z,12627,10477,2497,248
2020-04-25T00:00:00.000Z,9077,7357,145,159
2020-04-26T00:00:00.000Z,8464,7342,280,83
2020-04-27T00:00:00.000Z,11508,9383,10,128
2020-04-28T00:00:00.000Z,10640,8815,3,159
2020-04-29T00:00:00.000Z,8996,7393,5,82
2020-04-30T00:00:00.000Z,9930,8593,9,142
2020-05-01T00:00:00.000Z,11052,9221,443,116
2020-05-02T00:00:00.000Z,5568,4761,300,57
2020-05-03T00:00:00.000Z,8029,7400,1184,27
2020-05-04T00:00:00.000Z,9258,7954,1048,53
2020-05-05T00:00:00.000Z,8957,7687,782,32
2020-05-06T00:00:00.000Z,9467,8546,1922,65
2020-05-07T00:00:00.000Z,10119,9130,967,61
2020-05-08T00:00:00.000Z,8157,7187,374,33
2020-05-09T00:00:00.000Z,3868,3508,165,19
2020-05-10T00:00:00.000Z,4944,4410,274,29
2020-05-11T00:00:00.000Z,9216,7827,1623,39
2020-05-12T00:00:00.000Z,7538,6681,1146,23
2020-05-13T00:00:00.000Z,8272,7525,2871,39
2020-05-14T00:00:00.000Z,8416,7679,3158,22
2020-05-15T00:00:00.000Z,5696,5073,1798,12
2020-05-16T00:00:00.000Z,1502,1343,214,5
2020-05-17T00:00:00.000Z,4633,4219,1126,15
2020-05-18T00:00:00.000Z,7692,6797,1400,27
2020-05-19T00:00:00.000Z,7142,6502,1713,22
2020-05-20T00:00:00.000Z,5968,5620,904,15
2020-05-21T00:00:00.000Z,6164,5601,755,17
2020-05-22T00:00:00.000Z,4995,4615,1377,19
2020-05-23T00:00:00.000Z,718,670,0,5
2020-05-24T00:00:00.000Z,3808,3439,248,13
2020-05-25T00:00:00.000Z,5333,4850,512,22
2020-05-26T00:00:00.000Z,6819,6514,1844,50
2020-05-27T00:00:00.000Z,6728,6442,2039,40
2020-05-28T00:00:00.000Z,5352,5030,1157,77
2020-05-29T00:00:00.000Z,1863,1803,1,113
2020-05-30T00:00:00.000Z,1059,1041,0,29
2020-05-31T00:00:00.000Z,5640,5499,392,87
2020-06-01T00:00:00.000Z,8155,7907,1303,100
2020-06-02T00:00:00.000Z,11757,11577,1902,121
2020-06-03T00:00:00.000Z,13209,13042,1938,97
2020-06-04T00:00:00.000Z,14899,14728,787,142
2020-06-05T00:00:00.000Z,16474,16351,1096,127
2020-06-06T00:00:00.000Z,11537,11442,221,78
2020-06-07T00:00:00.000Z,15098,14891,605,140
2020-06-08T00:00:00.000Z,14644,14488,777,179
2020-06-09T00:00:00.000Z,15064,14867,1542,173
2020-06-10T00:00:00.000Z,18484,18166,1493,240
2020-06-11T00:00:00.000Z,15809,15564,1146,191
2020-06-12T00:00:00.000Z,13132,12879,1113,184
2020-06-13T00:00:00.000Z,6987,6847,601,149
2020-06-14T00:00:00.000Z,8840,8635,1179,136
2020-06-15T00:00:00.000Z,14436,14109,1823,198
2020-06-16T00:00:00.000Z,16239,15924,2236,300
2020-06-17T00:00:00.000Z,16024,15638,1923,271
2020-06-18T00:00:00.000Z,17392,16940,2977,302
2020-06-19T00:00:00.000Z,12787,12448,1372,310
2020-06-20T00:00:00.000Z,6010,5778,318,159
2020-06-21T00:00:00.000Z,9152,8909,1169,173
2020-06-22T00:00:00.000Z,14009,13460,997,345
2020-06-23T00:00:00.000Z,19847,19162,3209,452
2020-06-24T00:00:00.000Z,18393,17869,1777,487
2020-06-25T00:00:00.000Z,18666,17979,2974,516
2020-06-26T00:00:00.000Z,16531,16120,1973,464
2020-06-27T00:00:00.000Z,10489,10051,695,398
2020-06-28T00:00:00.000Z,10389,9890,503,385
2020-06-29T00:00:00.000Z,21017,20258,2945,757
2020-06-30T00:00:00.000Z,20840,20148,3179,786
2020-07-01T00:00:00.000Z,21460,20829,2571,972
2020-07-02T00:00:00.000Z,25041,24264,3588,1146
2020-07-03T00:00:00.000Z,20951,20464,2817,939
2020-07-04T00:00:00.000Z,17308,16701,1385,821
2020-07-05T00:00:00.000Z,21112,20276,1662,831
2020-07-06T00:00:00.000Z,25601,24748,3194,1134
2020-07-07T00:00:00.000Z,28634,27699,3539,1390
2020-07-08T00:00:00.000Z,29420,28594,3126,1327
2020-07-09T00:00:00.000Z,29988,28903,3300,1525
2020-07-10T00:00:00.000Z,25829,24765,3082,1409
2020-07-11T00:00:00.000Z,20468,19246,1817,1168
2020-07-12T00:00:00.000Z,21762,20292,2795,1238
2020-07-13T00:00:00.000Z,29247,27477,4176,1720
2020-07-14T00:00:00.000Z,31750,29978,7700,1604
2020-07-15T00:00:00.000Z,30692,27917,4689,1877
2020-07-16T00:00:00.000Z,31078,28453,7097,1939
2020-07-17T00:00:00.000Z,25732,23581,5977,1605
2020-07-18T00:00:00.000Z,20457,18212,4810,1448
2020-07-19T00:00:00.000Z,19846,17815,5263,1016
2020-07-20T00:00:00.000Z,27608,24492,5137,1887
2020-07-21T00:00:00.000Z,30177,26766,7571,2006
2020-07-22T00:00:00.000Z,28807,25715,5860,2044
2020-07-23T00:00:00.000Z,32536,29284,8141,1990
2020-07-24T00:00:00.000Z,24400,22697,5526,1830
2020-07-25T00:00:00.000Z,15486,14636,4684,1112
2020-07-26T00:00:00.000Z,12204,11427,423,1042
2020-07-27T00:00:00.000Z,28245,27244,7411,2048
2020-07-28T00:00:00.000Z,26639,25769,7934,2125
2020-07-29T00:00:00.000Z,26228,25455,7375,1954
2020-07-30T00:00:00.000Z,21962,21222,5027,1787
2020-07-31T00:00:00.000Z,22898,22141,9892,1362
2020-08-01T00:00:00.000Z,7790,7456,2466,625
2020-08-02T00:00:00.000Z,10087,9618,576,708
2020-08-03T00:00:00.000Z,23468,22552,7095,1800
2020-08-04T00:00:00.000Z,26099,25089,9776,1729
2020-08-05T00:00:00.000Z,25792,24893,8861,1690
2020-08-06T00:00:00.000Z,28767,27840,12490,1677
2020-08-07T00:00:00.000Z,25310,24532,9847,1764
2020-08-08T00:00:00.000Z,8583,8136,2055,754
2020-08-09T00:00:00.000Z,12163,11543,2458,924
2020-08-10T00:00:00.000Z,24368,23375,8123,1704
2020-08-11T00:00:00.000Z,27667,26573,10509,1823
2020-08-12T00:00:00.000Z,26233,25293,10034,1622
2020-08-13T00:00:00.000Z,28891,27814,13201,1643
2020-08-14T00:00:00.000Z,20915,20083,7789,1388
2020-08-15T00:00:00.000Z,9396,8864,2098,757
2020-08-16T00:00:00.000Z,12386,11621,951,1068
2020-08-17T00:00:00.000Z,26061,24894,8114,1650
2020-08-18T00:00:00.000Z,27899,26781,10274,1649
2020-08-19T00:00:00.000Z,28401,27240,9461,1640
2020-08-20T00:00:00.000Z,28854,27849,10804,1487
2020-08-21T00:00:00.000Z,27218,26363,9043,1493
2020-08-22T00:00:00.000Z,11059,10519,2255,711
2020-08-23T00:00:00.000Z,13298,12607,384,965
2020-08-24T00:00:00.000Z,30139,28801,7339,1900
2020-08-25T00:00:00.000Z,34053,32818,10687,1956
2020-08-26T00:00:00.000Z,34254,33072,12418,1953
2020-08-27T00:00:00.000Z,36428,35196,13333,2071
2020-08-28T00:00:00.000Z,23289,22356,5108,1832
2020-08-29T00:00:00.000Z,10708,10171,1565,910
2020-08-30T00:00:00.000Z,13553,12911,2189,1101
2020-08-31T00:00:00.000Z,31969,30653,7713,2178
2020-09-01T00:00:00.000Z,28467,27526,7374,2252
2020-09-02T00:00:00.000Z,35980,34577,10672,3193
2020-09-03T00:00:00.000Z,35227,33979,10675,2661
2020-09-04T00:00:00.000Z,31548,30738,8509,2623
2020-09-05T00:00:00.000Z,15945,15292,2673,1505
2020-09-06T00:00:00.000Z,19671,18725,437,2177
2020-09-07T00:00:00.000Z,41453,40015,9900,3388
2020-09-08T00:00:00.000Z,45674,44399,11282,3489
2020-09-09T00:00:00.000Z,46406,45109,9513,3996
2020-09-10T00:00:00.000Z,48750,47381,7792,4161
2020-09-11T00:00:00.000Z,43704,42788,6830,3975
2020-09-12T00:00:00.000Z,30572,29784,6681,2719
2020-09-13T00:00:00.000Z,34979,33875,4887,3175
2020-09-14T00:00:00.000Z,47549,46282,6703,4805
2020-09-15T00:00:00.000Z,57765,56307,9016,5539
2020-09-16T00:00:00.000Z,54229,52958,9804,4574
2020-09-17T00:00:00.000Z,58809,57461,6260,5385
2020-09-18T00:00:00.000Z,54471,53235,7329,5340
2020-09-19T00:00:00.000Z,42833,41773,10705,3809
2020-09-20T00:00:00.000Z,24493,23511,2545,2579
2020-09-21T00:00:00.000Z,34603,33430,5752,3865
2020-09-22T00:00:00.000Z,63062,61076,16207,7021
2020-09-23T00:00:00.000Z,59352,57736,11970,7125
2020-09-24T00:00:00.000Z,67980,66156,14699,8234
2020-09-25T00:00:00.000Z,62716,61217,12331,8390
2020-09-26T00:00:00.000Z,46422,45055,8387,5882
2020-09-27T00:00:00.000Z,25281,24193,2194,3413
2020-09-28T00:00:00.000Z,8220,7691,100,1159
2020-09-29T00:00:00.000Z,34617,33169,2657,4991
2020-09-30T00:00:00.000Z,70152,67666,14378,9078
2020-10-01T00:00:00.000Z,65943,63658,14951,7731
2020-10-02T00:00:00.000Z,62163,59831,15136,7058
2020-10-03T00:00:00.000Z,25142,23505,7927,2593
2020-10-04T00:00:00.000Z,26458,24842,2164,2937
2020-10-05T00:00:00.000Z,52215,49707,13301,5721
2020-10-06T00:00:00.000Z,47046,44742,11468,4724
2020-10-07T00:00:00.000Z,49232,46505,14823,4165
2020-10-08T00:00:00.000Z,49820,47187,14082,3755
2020-10-09T00:00:00.000Z,37349,35207,8392,2963
2020-10-10T00:00:00.000Z,13467,12295,2302,916
2020-10-11T00:00:00.000Z,23119,21289,1809,1646
2020-10-12T00:00:00.000Z,47366,44326,12065,3169
2020-10-13T00:00:00.000Z,45319,42427,15467,2336
2020-10-14T00:00:00.000Z,41182,38664,13784,2117
2020-10-15T00:00:00.000Z,37651,35522,11819,1612
2020-10-16T00:00:00.000Z,34745,32943,6459,1500
2020-10-17T00:00:00.000Z,14994,14218,2650,412
2020-10-18T00:00:00.000Z,27529,26032,2226,922
2020-10-19T00:00:00.000Z,41854,39808,10278,1517
2020-10-20T00:00:00.000Z,42544,40542,13551,1193
2020-10-21T00:00:00.000Z,43454,41442,13100,1172
2020-10-22T00:00:00.000Z,35305,33721,8185,1032
2020-10-23T00:00:00.000Z,30511,29273,6544,849
2020-10-24T00:00:00.000Z,6661,6311,1525,246
2020-10-25T00:00:00.000Z,21807,20717,2433,607
2020-10-26T00:00:00.000Z,41012,39306,11555,884
2020-10-27T00:00:00.000Z,41724,40148,14685,887
2020-10-28T00:00:00.000Z,35097,33877,11273,723
2020-10-29T00:00:00.000Z,37604,36349,9330,644
2020-10-30T00:00:00.000Z,32646,31715,5830,680
2020-10-31T00:00:00.000Z,8028,7714,1198,228
2020-11-01T00:00:00.000Z,22643,21848,2488,658
2020-11-02T00:00:00.000Z,35816,34498,10770,788
2020-11-03T00:00:00.000Z,41558,40194,13387,845
2020-11-04T00:00:00.000Z,39793,38691,11707,769
2020-11-05T00:00:00.000Z,35369,34468,8655,570
2020-11-06T00:00:00.000Z,31589,30730,7783,691
2020-11-07T00:00:00.000Z,8344,8077,927,212
2020-11-08T00:00:00.000Z,22114,21486,3356,534
2020-11-09T00:00:00.000Z,35226,34389,9723,719
2020-11-10T00:00:00.000Z,41657,40543,15244,675
2020-11-11T00:00:00.000Z,40486,39517,11061,763
2020-11-12T00:00:00.000Z,40338,39326,7603,836
2020-11-13T00:00:00.000Z,35792,35033,7491,761
2020-11-14T00:00:00.000Z,12933,12655,586,292
2020-11-15T00:00:00.000Z,23801,23302,1347,625
2020-11-16T00:00:00.000Z,49239,47860,12769,873
2020-11-17T00:00:00.000Z,56769,55454,16078,829
2020-11-18T00:00:00.000Z,46686,45652,10131,796
2020-11-19T00:00:00.000Z,56265,55163,10838,771
2020-11-20T00:00:00.000Z,44099,43223,5598,773
2020-11-21T00:00:00.000Z,15893,15605,296,422
2020-11-22T00:00:00.000Z,35011,34314,3108,762
2020-11-23T00:00:00.000Z,53670,52500,12076,959
2020-11-24T00:00:00.000Z,60000,58726,14636,857
2020-11-25T00:00:00.000Z,61037,59641,12893,1079
2020-11-26T00:00:00.000Z,54563,53377,6403,1087
2020-11-27T00:00:00.000Z,48852,47971,5991,1031
2020-11-28T00:00:00.000Z,17528,17182,3149,582
2020-11-29T00:00:00.000Z,40458,39519,3209,1024
2020-11-30T00:00:00.000Z,58846,57530,10479,1257
2020-12-01T00:00:00.000Z,65292,63977,15380,1199
2020-12-02T00:00:00.000Z,72829,71283,13544,1587
2020-12-03T00:00:00.000Z,65489,64175,11444,1451
2020-12-04T00:00:00.000Z,61636,60401,8328,1516
2020-12-05T00:00:00.000Z,25869,25364,1602,1000
2020-12-06T00:00:00.000Z,42917,42055,1844,1364
2020-12-07T00:00:00.000Z,67661,66087,9323,1860
2020-12-08T00:00:00.000Z,70478,69142,10788,1768
2020-12-09T00:00:00.000Z,75459,73861,12839,1865
2020-12-10T00:00:00.000Z,77812,76332,10156,2006
2020-12-11T00:00:00.000Z,77208,75688,10615,1834
2020-12-12T00:00:00.000Z,44855,43994,3632,1295
2020-12-13T00:00:00.000Z,51462,50502,1162,1729
2020-12-14T00:00:00.000Z,73687,72201,9414,2314
2020-12-15T00:00:00.000Z,83953,82301,12599,2890
2020-12-16T00:00:00.000Z,84127,82475,12891,2852
2020-12-17T00:00:00.000Z,80665,79120,11746,2846
2020-12-18T00:00:00.000Z,76763,75412,8572,2792
2020-12-19T00:00:00.000Z,62133,60966,7112,1887
2020-12-20T00:00:00.000Z,73431,72065,3391,3093
2020-12-21T00:00:00.000Z,94096,92303,11555,3784
2020-12-22T00:00:00.000Z,95250,93424,15018,4375
2020-12-23T00:00:00.000Z,99487,97681,11540,4036
2020-12-24T00:00:00.000Z,102675,100735,12105,4058
2020-12-25T00:00:00.000Z,86981,85299,11608,3999
2020-12-26T00:00:00.000Z,64898,63658,5890,2636
2020-12-27T00:00:00.000Z,17642,17355,716,872
